C, r, R, R, R, R, L, R, L, L, R, R	0	 at 	-0.093726784			PREZERO after 12 iterates
C, r, R, R, R, R, L, R, L, L, R, R		 at 	-0.093727098	
C, r, R, R, R, R, L, R, R, L, R, R		 at 	-0.093761638	
C, r, R, R, R, R, L, R, R, L, R, R	0	 at 	-0.093762109			PREZERO after 12 iterates
C, r, R, R, R, R, L, R, R, L, R, L	0	 at 	-0.093762894			PREZERO after 12 iterates
C, r, R, R, R, R, L, R, R, L, R, L		 at 	-0.093763208	
C, r, R, R, R, R, L, R, R, L, L, L		 at 	-0.093766505	
C, r, R, R, R, R, L, R, R, L, L, L	0	 at 	-0.093766662			PREZERO after 12 iterates
C, r, R, R, R, R, L, R, R, L, L, R	0	 at 	-0.09376729			PREZERO after 12 iterates
C, r, R, R, R, R, L, R, R, L, L, R		 at 	-0.093767604	
C, r, R, R, R, R, L, R, R, R, L, R		 at 	-0.093781891	
C, r, R, R, R, R, L, R, R, R, L, R	0	 at 	-0.093782519			PREZERO after 12 iterates
C, r, R, R, R, R, L, R, R, R, L, L	0	 at 	-0.093783304			PREZERO after 12 iterates
C, r, R, R, R, R, L, R, R, R, L, L		 at 	-0.093783775	
C, r, R, R, R, R, L, R, R, R, R, L		 at 	-0.093790683	
C, r, R, R, R, R, L, R, R, R, R, L	0	 at 	-0.093791625			PREZERO after 12 iterates
C, r, R, R, R, R, L, R, R, R, R, R	0	 at 	-0.093793509			PREZERO after 12 iterates
C, r, R, R, R, R, L, R, R, R, R, R		 at 	-0.093794922	
C, r, R, R, R, R, r, R, R, R, R, R		 at 	-0.094323855	
C, r, R, R, R, R, r, R, R, R, R, R	0	 at 	-0.094333746			PREZERO after 12 iterates
C, r, R, R, R, R, r, R, R, R, R, L	0	 at 	-0.094348033			PREZERO after 12 iterates
C, r, R, R, R, R, r, R, R, R, R, L		 at 	-0.094355255	
C, r, R, R, R, L, r, R, R, R, R, L		 at 	-0.094493415	
C, r, R, R, R, L, r, R, R, R, R, L	0	 at 	-0.094500166			PREZERO after 12 iterates
C, r, R, R, R, L, r, R, R, R, R, R	0	 at 	-0.094513511			PREZERO after 12 iterates
C, r, R, R, R, L, r, R, R, R, R, R		 at 	-0.094522617	
C, r, R, R, R, L, L, R, R, R, R, R		 at 	-0.094922339	
C, r, R, R, R, L, L, R, R, R, R, R	0	 at 	-0.094923281			PREZERO after 12 iterates
C, r, R, R, R, L, L, R, R, R, R, L	0	 at 	-0.09492438			PREZERO after 12 iterates
C, r, R, R, R, L, L, R, R, R, R, L		 at 	-0.094925008	
C, r, R, R, R, L, L, R, R, R, L, L		 at 	-0.09492909	
C, r, R, R, R, L, L, R, R, R, L, L	0	 at 	-0.094929404			PREZERO after 12 iterates
C, r, R, R, R, L, L, R, R, R, L, R	0	 at 	-0.094930032			PREZERO after 12 iterates
C, r, R, R, R, L, L, R, R, R, L, R		 at 	-0.094930346	
C, r, R, R, R, L, L, R, R, L, L, R		 at 	-0.094938981	
C, r, R, R, R, L, L, R, R, L, L, R	0	 at 	-0.094939295			PREZERO after 12 iterates
C, r, R, R, R, L, L, R, R, L, L, L	0	 at 	-0.094939609			PREZERO after 12 iterates
C, r, R, R, R, L, L, R, R, L, L, L		 at 	-0.094939766	
C, r, R, R, R, L, L, R, R, L, R, L		 at 	-0.09494165	
