C, r, R, R, R, R, L, R, R, r, R, R, R, R, R, L		 at 	-0.093744996	
C, r, R, R, R, R, L, R, R, r, R, R, R, R, R, R	0	 at 	-0.09374531			PREZERO after 16 iterates
C, r, R, R, R, R, L, R, R, r, R, R, R, R, R, R		 at 	-0.093745467	
C, r, R, R, R, R, L, R, R, L, R, R, R, R, r, R		 at 	-0.093761324	
C, r, R, R, R, R, L, R, R, L, R, R, R, L, R, R		 at 	-0.093761481	
C, r, R, R, R, R, L, R, R, L, R, r, R, R, R, R		 at 	-0.093764778	
C, r, R, R, R, R, L, R, R, L, L, r, R, R, R, R		 at 	-0.093765092	
C, r, R, R, R, R, L, R, R, L, L, R, r, R, R, R		 at 	-0.09376729	
C, r, R, R, R, R, L, R, R, L, L, R, L, R, R, L		 at 	-0.093767447	
C, r, R, R, R, R, L, R, R, L, r, R, R, R, R, R		 at 	-0.093773099	
C, r, R, R, R, R, L, R, R, L, r, R, R, R, R, R	0	 at 	-0.093773256			PREZERO after 16 iterates
C, r, R, R, R, R, L, R, R, L, r, R, R, R, R, R	0	 at 	-0.093773413			PREZERO after 16 iterates
C, r, R, R, R, R, L, R, R, L, r, R, R, R, R, L		 at 	-0.093773727	
C, r, R, R, R, R, L, R, R, R, r, R, R, R, R, L		 at 	-0.093774355	
C, r, R, R, R, R, L, R, R, R, r, R, R, R, R, L	0	 at 	-0.093774512			PREZERO after 16 iterates
C, r, R, R, R, R, L, R, R, R, r, R, R, R, R, L	0	 at 	-0.093774669			PREZERO after 16 iterates
C, r, R, R, R, R, L, R, R, R, r, R, R, R, R, R		 at 	-0.093774826	
C, r, R, R, R, R, L, R, R, R, L, R, L, L, R, R		 at 	-0.093782205	
C, r, R, R, R, R, L, R, R, R, L, R, L, R, L, L		 at 	-0.093782362	
C, r, R, R, R, R, L, R, R, R, L, L, L, R, R, R		 at 	-0.093783461	
C, r, R, R, R, R, L, R, R, R, L, L, L, R, R, L		 at 	-0.093783618	
C, r, R, R, R, R, L, R, R, R, L, L, R, r, R, R		 at 	-0.093783932	
C, r, R, R, R, R, L, R, R, R, L, L, R, L, R, L	0	 at 	-0.093784089			PREZERO after 16 iterates
C, r, R, R, R, R, L, R, R, R, L, L, R, R, L, R		 at 	-0.093784246	
C, r, R, R, R, R, L, R, R, R, L, r, R, R, R, R		 at 	-0.093786601	
C, r, R, R, R, R, L, R, R, R, R, r, R, R, R, R		 at 	-0.093787072	
C, r, R, R, R, R, L, R, R, R, R, L, R, L, r, R		 at 	-0.093790369	
C, r, R, R, R, R, L, R, R, R, R, L, R, L, R, R		 at 	-0.093790526	
C, r, R, R, R, R, L, R, R, R, R, R, L, R, R, R		 at 	-0.093793823	
C, r, R, R, R, R, L, R, R, R, R, R, L, R, R, R	0	 at 	-0.09379398			PREZERO after 16 iterates
C, r, R, R, R, R, L, R, R, R, R, R, L, R, L, R		 at 	-0.093794137	
C, r, R, R, R, R, L, R, R, R, R, R, R, R, R, r		 at 	-0.093796806	
C, r, R, R, R, R, L, R, R, R, R, R, R, R, R, L		 at 	-0.093796963	
C, r, R, R, R, R, r, R, R, R, R, R, R, R, R, R		 at 	-0.094311766	
C, r, R, R, R, R, r, R, R, R, R, R, R, R, R, R	0	 at 	-0.094312237			PREZERO after 16 iterates
C, r, R, R, R, R, r, R, R, R, R, R, R, R, R, L	0	 at 	-0.094312708			PREZERO after 16 iterates
C, r, R, R, R, R, r, R, R, R, R, R, R, R, R, L		 at 	-0.094312865	
C, r, R, R, R, R, r, R, R, R, R, R, R, R, L, L		 at 	-0.094314592	
C, r, R, R, R, R, r, R, R, R, R, R, R, R, L, R	0	 at 	-0.094314906			PREZERO after 16 iterates
C, r, R, R, R, R, r, R, R, R, R, R, R, R, L, R		 at 	-0.094315063	
C, r, R, R, R, R, r, R, R, R, R, R, R, L, L, R		 at 	-0.09431836	
