C, r, R, R, R, R, R, L, R, R, R, R, R, R	0	 at 	-0.093041322			PREZERO after 14 iterates
C, r, R, R, R, R, R, L, R, R, R, R, R, R		 at 	-0.093041636	
C, r, R, R, R, R, R, r, R, R, R, R, R, R		 at 	-0.09329158	
C, r, R, R, R, R, R, r, R, R, R, R, R, R	0	 at 	-0.093294563			PREZERO after 14 iterates
C, r, R, R, R, R, R, r, R, R, R, R, R, L	0	 at 	-0.093298802			PREZERO after 14 iterates
C, r, R, R, R, R, R, r, R, R, R, R, R, L		 at 	-0.093301	
C, r, R, R, R, R, L, r, R, R, R, R, R, L		 at 	-0.093342448	
C, r, R, R, R, R, L, r, R, R, R, R, R, L	0	 at 	-0.093344646			PREZERO after 14 iterates
C, r, R, R, R, R, L, r, R, R, R, R, R, R	0	 at 	-0.093348728			PREZERO after 14 iterates
C, r, R, R, R, R, L, r, R, R, R, R, R, R		 at 	-0.093351554	
C, r, R, R, R, R, L, L, R, R, R, R, R, R		 at 	-0.093542937	
C, r, R, R, R, R, L, L, R, R, R, R, R, R	0	 at 	-0.093543094			PREZERO after 14 iterates
C, r, R, R, R, R, L, L, R, R, R, R, R, R	0	 at 	-0.093543251			PREZERO after 14 iterates
C, r, R, R, R, R, L, L, R, R, R, R, R, L		 at 	-0.093543408	
C, r, R, R, R, R, L, L, R, R, R, R, L, L		 at 	-0.09354435	
C, r, R, R, R, R, L, L, R, R, R, R, L, R		 at 	-0.093544507	
C, r, R, R, R, R, L, L, R, R, R, L, L, R		 at 	-0.093546234	
C, r, R, R, R, R, L, L, R, R, R, L, L, R		 at 	-0.093546391	
C, r, R, R, R, R, L, L, R, R, R, L, R, r		 at 	-0.093546705	
C, r, R, R, R, R, L, L, R, R, R, L, R, R		 at 	-0.093547019	
C, r, R, R, R, R, L, L, R, R, L, L, R, R		 at 	-0.093550787	
C, r, R, R, R, R, L, L, R, R, L, L, R, L		 at 	-0.093550944	
C, r, R, R, R, R, L, L, R, R, L, L, L, r		 at 	-0.093551101	
C, r, R, R, R, R, L, L, R, R, L, L, L, R		 at 	-0.093551258	
C, r, R, R, R, R, L, L, R, R, L, R, R, r		 at 	-0.093552357	
C, r, R, R, R, R, L, L, R, R, L, R, R, L		 at 	-0.093552514	
C, r, R, R, R, R, L, L, R, L, L, R, R, R		 at 	-0.093561777	
C, r, R, R, R, R, L, L, R, L, L, R, R, L		 at 	-0.093561934	
C, r, R, R, R, R, L, L, R, L, L, L, L, r		 at 	-0.093562876	
C, r, R, R, R, R, L, L, R, L, L, L, R, R		 at 	-0.093563033	
C, r, R, R, R, R, L, L, R, L, R, L, R, r		 at 	-0.093565231	
C, r, R, R, R, R, L, L, R, L, R, L, L, R		 at 	-0.093565388	
C, r, R, R, R, R, L, L, R, L, R, R, L, R		 at 	-0.093566016	
C, r, R, R, R, R, L, L, R, L, R, R, L, L		 at 	-0.093566173	
C, r, R, R, R, R, L, L, R, L, R, R, R, L		 at 	-0.093566487	
C, r, R, R, R, R, L, L, R, L, R, R, R, R		 at 	-0.093566644	
C, r, R, R, R, R, L, L, R, r, R, R, R, R		 at 	-0.093579361	
C, r, R, R, R, R, L, L, L, r, R, R, R, R		 at 	-0.093581245	
C, r, R, R, R, R, L, L, L, L, R, R, R, R		 at 	-0.093592549	
