C, r, R, R, R, R, R, L, L, r, R, R, R, R, R		 at 	-0.092976795	
C, r, R, R, R, R, R, L, R, r, R, R, R, R, R		 at 	-0.092979307	
C, r, R, R, R, R, R, L, R, L, R, R, R, R, R		 at 	-0.093001758	
C, r, R, R, R, R, R, L, R, L, R, R, R, R, L		 at 	-0.093001915	
C, r, R, R, R, R, R, L, R, L, R, R, R, R, r		 at 	-0.093002072	
C, r, R, R, R, R, R, L, R, L, R, R, R, L, L		 at 	-0.093002229	
C, r, R, R, R, R, R, L, R, L, R, L, R, L, R		 at 	-0.093004584	
C, r, R, R, R, R, R, L, R, L, R, L, R, R, L		 at 	-0.093004741	
C, r, R, R, R, R, R, L, R, L, L, R, R, r, R		 at 	-0.093009922	
C, r, R, R, R, R, R, L, R, L, L, R, R, L, R		 at 	-0.093010079	
C, r, R, R, R, R, R, L, R, R, L, R, R, R, R		 at 	-0.093025622	
C, r, R, R, R, R, R, L, R, R, L, R, R, R, L		 at 	-0.093025779	
C, r, R, R, R, R, R, L, R, R, L, R, L, L, L		 at 	-0.093026564	
C, r, R, R, R, R, R, L, R, R, L, R, L, R, R		 at 	-0.093026721	
C, r, R, R, R, R, R, L, R, R, L, L, R, L, L		 at 	-0.093028605	
C, r, R, R, R, R, R, L, R, R, L, L, R, R, L		 at 	-0.093028762	
C, r, R, R, R, R, R, L, R, R, R, L, R, R, R		 at 	-0.093034885	
C, r, R, R, R, R, R, L, R, R, R, L, R, R, L		 at 	-0.093035042	
C, r, R, R, R, R, R, L, R, R, R, L, R, R, r		 at 	-0.093035199	
C, r, R, R, R, R, R, L, R, R, R, L, R, L, R		 at 	-0.093035356	
C, r, R, R, R, R, R, L, R, R, R, L, L, r, R		 at 	-0.093035827	
C, r, R, R, R, R, R, L, R, R, R, L, L, L, L		 at 	-0.093035984	
C, r, R, R, R, R, R, L, R, R, R, R, L, R, R		 at 	-0.09303881	
C, r, R, R, R, R, R, L, R, R, R, R, L, R, R		 at 	-0.093038967	
C, r, R, R, R, R, R, L, R, R, R, R, L, L, r		 at 	-0.093039281	
C, r, R, R, R, R, R, L, R, R, R, R, L, L, R		 at 	-0.093039438	
C, r, R, R, R, R, R, L, R, R, R, R, R, L, R		 at 	-0.093040694	
C, r, R, R, R, R, R, L, R, R, R, R, R, L, L		 at 	-0.093040851	
C, r, R, R, R, R, R, L, R, R, R, R, R, R, L		 at 	-0.093041479	
C, r, R, R, R, R, R, L, R, R, R, R, R, R, L	0	 at 	-0.093041636			PREZERO after 15 iterates
C, r, R, R, R, R, R, L, R, R, R, R, R, R, R		 at 	-0.093041793	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R		 at 	-0.093289382	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R	0	 at 	-0.093290638			PREZERO after 15 iterates
C, r, R, R, R, R, R, r, R, R, R, R, R, R, L	0	 at 	-0.093292365			PREZERO after 15 iterates
C, r, R, R, R, R, R, r, R, R, R, R, R, R, L		 at 	-0.09329315	
C, r, R, R, R, R, R, r, R, R, R, R, R, L, L		 at 	-0.093300058	
C, r, R, R, R, R, R, r, R, R, R, R, R, L, L	0	 at 	-0.093300529			PREZERO after 15 iterates
C, r, R, R, R, R, R, r, R, R, R, R, R, L, R	0	 at 	-0.093301628			PREZERO after 15 iterates
C, r, R, R, R, R, R, r, R, R, R, R, R, L, R		 at 	-0.093302256	
C, r, R, R, R, R, L, r, R, R, R, R, R, L, R		 at 	-0.093341349	
C, r, R, R, R, R, L, r, R, R, R, R, R, L, R	0	 at 	-0.093341977			PREZERO after 15 iterates
C, r, R, R, R, R, L, r, R, R, R, R, R, L, L	0	 at 	-0.093342919			PREZERO after 15 iterates
C, r, R, R, R, R, L, r, R, R, R, R, R, L, L		 at 	-0.093343547	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, L		 at 	-0.093350141	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, L	0	 at 	-0.093350769			PREZERO after 15 iterates
C, r, R, R, R, R, L, r, R, R, R, R, R, R, R	0	 at 	-0.093352339			PREZERO after 15 iterates
C, r, R, R, R, R, L, r, R, R, R, R, R, R, R		 at 	-0.093353595	
C, r, R, R, R, R, L, L, R, R, R, R, R, R, R		 at 	-0.09354278	
C, r, R, R, R, R, L, L, R, R, R, R, R, R, R		 at 	-0.093542937	
C, r, R, R, R, R, L, L, R, R, R, R, L, r, R		 at 	-0.093544193	
C, r, R, R, R, R, L, L, R, R, R, R, L, L, R		 at 	-0.09354435	
C, r, R, R, R, R, L, L, R, R, R, L, R, L, L		 at 	-0.093546862	
C, r, R, R, R, R, L, L, R, R, R, L, R, R, L		 at 	-0.093547019	
C, r, R, R, R, R, L, L, R, R, L, L, R, R, R		 at 	-0.093550787	
C, r, R, R, R, R, L, L, R, R, L, L, R, L, L		 at 	-0.093550944	
C, r, R, R, R, R, L, L, R, R, L, L, L, r, R		 at 	-0.093551101	
C, r, R, R, R, R, L, L, R, R, L, L, L, R, L		 at 	-0.093551258	
