C, r, R, R, L, R, L, L, L, R		 at 	-0.099044217	
C, r, R, R, L, R, L, L, L, R	0	 at 	-0.099045159			PREZERO after 10 iterates
C, r, R, R, L, R, L, L, L, L	0	 at 	-0.099046729			PREZERO after 10 iterates
C, r, R, R, L, R, L, L, L, L		 at 	-0.099047514	
C, r, R, R, L, R, L, L, R, L		 at 	-0.099057876	
C, r, R, R, L, R, L, L, R, L	0	 at 	-0.099058818			PREZERO after 10 iterates
C, r, R, R, L, R, L, L, R, R	0	 at 	-0.099061173			PREZERO after 10 iterates
C, r, R, R, L, R, L, L, R, R		 at 	-0.099062586	
C, r, R, R, L, R, L, r, R, R		 at 	-0.099126328	
C, r, R, R, L, R, R, r, R, R		 at 	-0.09916181	
C, r, R, R, L, R, R, L, R, R		 at 	-0.099241566	
C, r, R, R, L, R, R, L, R, R	0	 at 	-0.099243921			PREZERO after 10 iterates
C, r, R, R, L, R, R, L, R, L	0	 at 	-0.099247375			PREZERO after 10 iterates
C, r, R, R, L, R, R, L, R, L		 at 	-0.099248788	
C, r, R, R, L, R, R, L, L, L		 at 	-0.099264802	
C, r, R, R, L, R, R, L, L, L	0	 at 	-0.099265901			PREZERO after 10 iterates
C, r, R, R, L, R, R, L, L, R	0	 at 	-0.09926857			PREZERO after 10 iterates
C, r, R, R, L, R, R, L, L, R		 at 	-0.099269983	
C, r, R, R, L, R, R, R, L, R		 at 	-0.099343459	
C, r, R, R, L, R, R, R, L, R	0	 at 	-0.099345971			PREZERO after 10 iterates
C, r, R, R, L, R, R, R, L, L	0	 at 	-0.099350367			PREZERO after 10 iterates
C, r, R, R, L, R, R, R, L, L		 at 	-0.099352408	
C, r, R, R, L, R, R, R, R, L		 at 	-0.099387262	
C, r, R, R, L, R, R, R, R, L	0	 at 	-0.099391187			PREZERO after 10 iterates
C, r, R, R, L, R, R, R, R, R	0	 at 	-0.099401235			PREZERO after 10 iterates
C, r, R, R, L, R, R, R, R, R		 at 	-0.099408457	
C, r, R, R, r, R, R, R, R, R		 at 	-0.101728917	
C, r, R, R, r, R, R, R, R, R	0	 at 	-0.101748542			PREZERO after 10 iterates
C, r, R, R, r, R, R, R, R, L	0	 at 	-0.101777744			PREZERO after 10 iterates
C, r, R, R, r, R, R, R, R, L		 at 	-0.101788577	
C, r, R, R, r, R, R, R, L, L		 at 	-0.101894238	
C, r, R, R, r, R, R, R, L, L	0	 at 	-0.101900361			PREZERO after 10 iterates
C, r, R, R, r, R, R, R, L, R	0	 at 	-0.101914334			PREZERO after 10 iterates
C, r, R, R, r, R, R, R, L, R		 at 	-0.101922027	
C, r, R, R, r, R, R, L, L, R		 at 	-0.102190968	
C, r, R, R, r, R, R, L, L, R	0	 at 	-0.102196777			PREZERO after 10 iterates
C, r, R, R, r, R, R, L, L, L	0	 at 	-0.102207139			PREZERO after 10 iterates
C, r, R, R, r, R, R, L, L, L		 at 	-0.102211535	
C, r, R, R, r, R, R, L, R, L		 at 	-0.102279516	
C, r, R, R, r, R, R, L, R, L	0	 at 	-0.102285639			PREZERO after 10 iterates
C, r, R, R, r, R, R, L, R, R	0	 at 	-0.102301339			PREZERO after 10 iterates
C, r, R, R, r, R, R, L, R, R		 at 	-0.10231123	
C, r, R, R, r, R, R, r, R, R		 at 	-0.102736229	
C, r, R, R, r, R, R, r, R, R	0	 at 	-0.102826033			PREZERO after 10 iterates
C, r, R, L, r, R, R, r, R, R	0	 at 	-0.103695342			PREZERO after 10 iterates
C, r, R, L, r, R, R, r, R, R		 at 	-0.103769446	
C, r, R, L, r, R, R, L, R, R		 at 	-0.10413714	
C, r, R, L, r, R, R, L, R, R	0	 at 	-0.104145461			PREZERO after 10 iterates
C, r, R, L, r, R, R, L, R, L	0	 at 	-0.104159277			PREZERO after 10 iterates
C, r, R, L, r, R, R, L, R, L		 at 	-0.104164144	
C, r, R, L, r, R, R, L, L, L		 at 	-0.104222391	
C, r, R, L, r, R, R, L, L, L	0	 at 	-0.104225845			PREZERO after 10 iterates
C, r, R, L, r, R, R, L, L, R	0	 at 	-0.104234794			PREZERO after 10 iterates
C, r, R, L, r, R, R, L, L, R		 at 	-0.104239504	
C, r, R, L, r, R, R, L, r, R		 at 	-0.104331035	
C, r, R, L, r, R, R, R, r, R		 at 	-0.104362906	
C, r, R, L, r, R, R, R, L, R		 at 	-0.104468096	
C, r, R, L, r, R, R, R, L, R	0	 at 	-0.104474219			PREZERO after 10 iterates
C, r, R, L, r, R, R, R, L, L	0	 at 	-0.104485837			PREZERO after 10 iterates
C, r, R, L, r, R, R, R, L, L		 at 	-0.104490547	
C, r, R, L, r, R, R, R, R, L		 at 	-0.104577682	
C, r, R, L, r, R, R, R, R, L	0	 at 	-0.104586003			PREZERO after 10 iterates
C, r, R, L, r, R, R, R, R, R	0	 at 	-0.104610338			PREZERO after 10 iterates
C, r, R, L, r, R, R, R, R, R		 at 	-0.104625881	
C, r, R, L, L, R, R, R, R, R		 at 	-0.106288511	
C, r, R, L, L, R, R, R, R, R	0	 at 	-0.106292593			PREZERO after 10 iterates
C, r, R, L, L, R, R, R, R, L	0	 at 	-0.10629903			PREZERO after 10 iterates
C, r, R, L, L, R, R, R, R, L		 at 	-0.106301228	
C, r, R, L, L, R, R, R, L, L		 at 	-0.106322423	
C, r, R, L, L, R, R, R, L, L	0	 at 	-0.106323522			PREZERO after 10 iterates
C, r, R, L, L, R, R, R, L, R	0	 at 	-0.106326191			PREZERO after 10 iterates
C, r, R, L, L, R, R, R, L, R		 at 	-0.106327447	
C, r, R, L, L, R, R, R, r, R		 at 	-0.106348014	
C, r, R, L, L, R, R, L, r, R		 at 	-0.106358062	
