C, r, R, R, R, R, R, L, R, R, L, R, R, R, R, R, R, L		 at 	-0.093025622	
C, r, R, R, R, R, R, L, R, R, L, R, R, R, L, L, L, R		 at 	-0.093025779	
C, r, R, R, R, R, R, L, R, R, L, L, R, r, R, R, R, R		 at 	-0.093028448	
C, r, R, R, R, R, R, L, R, R, L, L, R, L, L, R, R, L		 at 	-0.093028605	
C, r, R, R, R, R, R, L, R, R, L, r, R, R, R, R, R, R		 at 	-0.093031274	
C, r, R, R, R, R, R, L, R, R, L, r, R, R, R, R, R, L		 at 	-0.093031431	
C, r, R, R, R, R, R, L, R, R, R, r, R, R, R, R, R, L		 at 	-0.093031588	
C, r, R, R, R, R, R, L, R, R, R, r, R, R, R, R, R, L		 at 	-0.093031745	
C, r, R, R, R, R, R, L, R, R, R, L, r, R, R, R, R, R		 at 	-0.09303724	
C, r, R, R, R, R, R, L, R, R, R, L, r, R, R, R, R, R		 at 	-0.093037397	
C, r, R, R, R, R, R, L, R, R, R, R, R, L, R, R, R, R		 at 	-0.093040537	
C, r, R, R, R, R, R, L, R, R, R, R, R, L, R, R, L, R		 at 	-0.093040694	
C, r, R, R, R, R, R, L, R, R, R, R, R, R, R, R, r, R		 at 	-0.09304195	
C, r, R, R, R, R, R, L, R, R, R, R, R, R, R, R, R, R		 at 	-0.093042107	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R, R, R, R		 at 	-0.093287812	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R, R, R, R	0	 at 	-0.093287969			PREZERO after 18 iterates
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R, R, R, R		 at 	-0.093288126	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R, R, L, L		 at 	-0.093288754	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R, R, L, R		 at 	-0.093288911	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R, L, L, R		 at 	-0.093289853	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R, L, L, L		 at 	-0.09329001	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R, L, R, r		 at 	-0.093290167	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R, L, R, R		 at 	-0.093290324	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, L, L, R, R		 at 	-0.093292522	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, L, L, R, R		 at 	-0.093292679	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, L, R, r, R		 at 	-0.093293307	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, L, R, L, L		 at 	-0.093293464	
C, r, R, R, R, R, R, r, R, R, R, R, R, L, R, L, R, R		 at 	-0.093301785	
C, r, R, R, R, R, R, r, R, R, R, R, R, L, R, L, R, L	0	 at 	-0.093301942			PREZERO after 18 iterates
C, r, R, R, R, R, R, r, R, R, R, R, R, L, R, L, L, L		 at 	-0.093302099	
