C, r, R, R, L, r, R, R, R, L, L		 at 	-0.097209044	
C, r, R, R, L, r, R, R, R, R, L		 at 	-0.097280008	
C, r, R, R, L, r, R, R, R, R, L	0	 at 	-0.097287073			PREZERO after 11 iterates
C, r, R, R, L, r, R, R, R, R, R	0	 at 	-0.097303715			PREZERO after 11 iterates
C, r, R, R, L, r, R, R, R, R, R		 at 	-0.09731549	
C, r, R, R, L, L, R, R, R, R, R		 at 	-0.098127965	
C, r, R, R, L, L, R, R, R, R, R	0	 at 	-0.098129849			PREZERO after 11 iterates
C, r, R, R, L, L, R, R, R, R, L	0	 at 	-0.098132518			PREZERO after 11 iterates
C, r, R, R, L, L, R, R, R, R, L		 at 	-0.098133617	
C, r, R, R, L, L, R, R, R, L, L		 at 	-0.098143037	
C, r, R, R, L, L, R, R, R, L, L	0	 at 	-0.098143665			PREZERO after 11 iterates
C, r, R, R, L, L, R, R, R, L, R	0	 at 	-0.098144764			PREZERO after 11 iterates
C, r, R, R, L, L, R, R, R, L, R		 at 	-0.098145549	
C, r, R, R, L, L, R, R, L, L, R		 at 	-0.098165017	
C, r, R, R, L, L, R, R, L, L, R	0	 at 	-0.098165488			PREZERO after 11 iterates
C, r, R, R, L, L, R, R, L, L, L	0	 at 	-0.098166116			PREZERO after 11 iterates
C, r, R, R, L, L, R, R, L, L, L		 at 	-0.09816643	
C, r, R, R, L, L, R, R, L, R, L		 at 	-0.098170826	
C, r, R, R, L, L, R, R, L, R, L	0	 at 	-0.09817114			PREZERO after 11 iterates
C, r, R, R, L, L, R, R, L, R, R	0	 at 	-0.098172082			PREZERO after 11 iterates
C, r, R, R, L, L, R, R, L, R, R		 at 	-0.09817271	
C, r, R, R, L, L, R, R, r, R, R		 at 	-0.09819469	
C, r, R, R, L, L, R, L, r, R, R		 at 	-0.098201755	
C, r, R, R, L, L, R, L, L, R, R		 at 	-0.098219182	
C, r, R, R, L, L, R, L, L, R, R	0	 at 	-0.098219653			PREZERO after 11 iterates
C, r, R, R, L, L, R, L, L, R, L	0	 at 	-0.098220281			PREZERO after 11 iterates
C, r, R, R, L, L, R, L, L, R, L		 at 	-0.098220438	
C, r, R, R, L, L, R, L, L, L, L		 at 	-0.098223264	
C, r, R, R, L, L, R, L, L, L, L	0	 at 	-0.098223421			PREZERO after 11 iterates
C, r, R, R, L, L, R, L, L, L, R	0	 at 	-0.098223735			PREZERO after 11 iterates
C, r, R, R, L, L, R, L, L, L, R		 at 	-0.098224049	
C, r, R, R, L, L, R, L, R, L, R		 at 	-0.098234097	
C, r, R, R, L, L, R, L, R, L, R	0	 at 	-0.098234411			PREZERO after 11 iterates
C, r, R, R, L, L, R, L, R, L, L	0	 at 	-0.098235039			PREZERO after 11 iterates
C, r, R, R, L, L, R, L, R, L, L		 at 	-0.098235196	
C, r, R, R, L, L, R, L, R, R, L		 at 	-0.098238964	
C, r, R, R, L, L, R, L, R, R, L	0	 at 	-0.098239278			PREZERO after 11 iterates
C, r, R, R, L, L, R, L, R, R, R	0	 at 	-0.098240377			PREZERO after 11 iterates
C, r, R, R, L, L, R, L, R, R, R		 at 	-0.098241005	
C, r, R, R, L, L, R, r, R, R, R		 at 	-0.098292658	
C, r, R, R, L, L, R, r, R, R, R	0	 at 	-0.098296269			PREZERO after 11 iterates
C, r, R, R, L, L, R, r, R, R, L	0	 at 	-0.09830459			PREZERO after 11 iterates
C, r, R, R, L, L, L, r, R, R, L	0	 at 	-0.098316522			PREZERO after 11 iterates
C, r, R, R, L, L, L, r, R, R, R	0	 at 	-0.098324529			PREZERO after 11 iterates
C, r, R, R, L, L, L, r, R, R, R		 at 	-0.098327826	
C, r, R, R, L, L, L, L, R, R, R		 at 	-0.098372257	
C, r, R, R, L, L, L, L, R, R, R	0	 at 	-0.098372885			PREZERO after 11 iterates
C, r, R, R, L, L, L, L, R, R, L	0	 at 	-0.098373513			PREZERO after 11 iterates
C, r, R, R, L, L, L, L, R, R, L		 at 	-0.098373827	
C, r, R, R, L, L, L, L, R, L, L		 at 	-0.09837681	
C, r, R, R, L, L, L, L, R, L, L	0	 at 	-0.098376967			PREZERO after 11 iterates
C, r, R, R, L, L, L, L, R, L, R	0	 at 	-0.098377281			PREZERO after 11 iterates
C, r, R, R, L, L, L, L, R, L, R		 at 	-0.098377595	
C, r, R, R, L, L, L, L, L, L, R		 at 	-0.098385131	
C, r, R, R, L, L, L, L, L, L, R	0	 at 	-0.098385288			PREZERO after 11 iterates
C, r, R, R, L, L, L, L, L, L, L	0	 at 	-0.098385602			PREZERO after 11 iterates
C, r, R, R, L, L, L, L, L, L, L		 at 	-0.098385759	
C, r, R, R, L, L, L, L, L, R, L		 at 	-0.0983878	
C, r, R, R, L, L, L, L, L, R, L	0	 at 	-0.098387957			PREZERO after 11 iterates
C, r, R, R, L, L, L, L, L, R, R	0	 at 	-0.098388428			PREZERO after 11 iterates
C, r, R, R, L, L, L, L, L, R, R		 at 	-0.098388742	
C, r, R, R, L, L, L, L, r, R, R		 at 	-0.098400831	
C, r, R, R, L, L, L, R, r, R, R		 at 	-0.098405855	
C, r, R, R, L, L, L, R, L, R, R		 at 	-0.098419671	
C, r, R, R, L, L, L, R, L, R, R	0	 at 	-0.098419985			PREZERO after 11 iterates
C, r, R, R, L, L, L, R, L, R, L	0	 at 	-0.098420613			PREZERO after 11 iterates
