-0.06324806 C, L  ->  C, r  at  -0.06324806 		PREZERO after 1 iterates
-0.13984208 C, r, L, F, F, r, L, r, R  ->  C, r, L, F, F, r, L, r, F  at  -0.13984208 		PREFIXED after 8 iterates
-0.1398515 	 C, r, L, F, F, r, L, r, F, F  ->  C, r, L, F, F, r, L, r, F, L  at  -0.1398515 		Period 9 orbit
-0.13985778  C, r, L, F, F, r, L, r, F, L  ->  C, r, L, F, F, r, L, r, F, r  at  -0.13985778 		PREZERO after 9 iterates
-0.13987348 C, r, L, F, F, r, L, r, F  ->  C, r, L, F, F, r, L, r, L  at  -0.13987348 		Period 8 orbit
-0.13989232  C, r, L, F, F, r, L, r, L, r  ->  C, r, L, F, F, r, L, r, L, L  at  -0.13989232 		PREZERO after 9 iterates
-0.13990488  C, r, L, F, F, r, L, r, L, L  ->  C, r, L, F, F, r, L, r, L, F  at  -0.13990488 		Period 9 orbit
-0.13993 	C, r, L, F, F, r, L  ->  C, r, L, F, F, r, F  at  -0.13993 			Period 6 orbit
-0.13995512  C, r, L, F, F, r, F, r, L, F  ->  C, r, L, F, F, r, F, r, L, L  at  -0.13995512 		Period 9 orbit
-0.13996768  C, r, L, F, F, r, F, r, L, L  ->  C, r, L, F, F, r, F, r, L, r  at  -0.13996768 		PREZERO after 9 iterates
-0.13998338 C, r, L, F, F, r, F, r, L  ->  C, r, L, F, F, r, F, r, F  at  -0.13998338 		Period 8 orbit
-0.1399928 	 C, r, L, F, F, r, F, r, F, r  ->  C, r, L, F, F, r, F, r, F, L  at  -0.1399928 		PREZERO after 9 iterates
-0.13999908  C, r, L, F, F, r, F, r, F, L  ->  C, r, L, F, F, r, F, r, F, F  at  -0.13999908 		Period 9 orbit
-0.14000536  C, r, L, F, F, r, F, r, F, F  ->  C, r, L, F, F, r, F, r, R, R  at  -0.14000536 		PREFIXED after 9 iterates
-0.14000536 C, r, L, F, F, r, F, r, F  ->  C, r, L, F, F, r, F, r, R  at  -0.14000536 		PREFIXED after 8 iterates
-0.14002106 C, r, L, F, F, r, F, r  ->  C, r, L, F, F, r, F, L  at  -0.14002106 		PREZERO after 7 iterates
-0.14003048  C, r, L, F, F, r, F, L, R, R  ->  C, r, L, F, F, r, F, L, F, F  at  -0.14003048 		PREFIXED after 9 iterates
-0.14003048 C, r, L, F, F, r, F, L, R  ->  C, r, L, F, F, r, F, L, F  at  -0.14003048 		PREFIXED after 8 iterates
-0.14003362  C, r, L, F, F, r, F, L, F, F  ->  C, r, L, F, F, r, F, L, F, L  at  -0.14003362 		Period 9 orbit
-0.14003676  C, r, L, F, F, r, F, L, F, L  ->  C, r, L, F, F, r, F, L, F, r  at  -0.14003676 		PREZERO after 9 iterates
-0.1400399  C, r, L, F, F, r, F, L, F  ->  C, r, L, F, F, r, F, L, L  at  -0.1400399 		Period 8 orbit
-0.14004304  C, r, L, F, F, r, F, L, L, r  ->  C, r, L, F, F, r, F, L, L, F  at  -0.14004304 
-0.14004618  C, r, L, F, F, r, F, L, L, F  ->  C, r, L, F, F, r, F, L, r, R  at  -0.14004618 		PREFIXED after 9 iterates
-0.14004618 C, r, L, F, F, r, F, L, L  ->  C, r, L, F, F, r, F, L, r  at  -0.14004618 		PREZERO after 8 iterates
-0.14004932  C, r, L, F, F, r, F, L, r, R  ->  C, r, L, F, F, r, F, L, r, F  at  -0.14004932 		PREFIXED after 9 iterates
-0.14005246  C, r, L, F, F, r, F, L, r, F  ->  C, r, L, F, F, r, F, L, r, L  at  -0.14005246 		Period 9 orbit
-0.14006188 C, r, L, F, F, r, F, L  ->  C, r, L, F, F, r, F, F  at  -0.14006188 		Period 7 orbit
-0.14007444  C, r, L, F, F, r, F, F, r, L  ->  C, r, L, F, F, r, F, F, r, F  at  -0.14007444 		Period 9 orbit
-0.14008072  C, r, L, F, F, r, F, F, r, F  ->  C, r, L, F, F, r, F, F, r, R  at  -0.14008072 		PREFIXED after 9 iterates
-0.14008386 C, r, L, F, F, r, F, F, r  ->  C, r, L, F, F, r, F, F, L  at  -0.14008386 		PREZERO after 8 iterates
-0.140087 	 C, r, L, F, F, r, F, F, L, R  ->  C, r, L, F, F, r, F, F, L, F  at  -0.140087 		PREFIXED after 9 iterates
-0.14009014  C, r, L, F, F, r, F, F, L, F  ->  C, r, L, F, F, r, F, F, L, L  at  -0.14009014 		Period 9 orbit
-0.14009328  C, r, L, F, F, r, F, F, L, L  ->  C, r, L, F, F, r, F, F, L, r  at  -0.14009328 		PREZERO after 9 iterates
-0.14009642 C, r, L, F, F, r, F, F, L  ->  C, r, L, F, F, r, F, F, F  at  -0.14009642 		Period 8 orbit
-0.14010584  C, r, L, F, F, r, F, F, F, r  ->  C, r, L, F, F, r, F, F, F, L  at  -0.14010584 		PREZERO after 9 iterates
-0.14010898  C, r, L, F, F, r, F, F, F, L  ->  C, r, L, F, F, r, F, F, F, F  at  -0.14010898 		Period 9 orbit
-0.1401184 	 C, r, L, F, F, r, F, F, F, F  ->  C, r, L, F, F, r, R, R, R, R  at  -0.1401184 		PREFIXED after 9 iterates
-0.1401184  C, r, L, F, F, r, F, F  ->  C, r, L, F, F, r, R, R  at  -0.1401184 		PREFIXED after 7 iterates
-0.1401184  C, r, L, F, F, r, F, F, F  ->  C, r, L, F, F, r, R, R, R  at  -0.1401184 		PREFIXED after 8 iterates
-0.1401184 C, r, L, F, F, r, F  ->  C, r, L, F, F, r, R  at  -0.1401184 		PREFIXED after 6 iterates
-0.14024714 C, r, L, F, F, r  ->  C, r, L, F, F, L  at  -0.14024714 		PREZERO after 5 iterates
-0.14035076  C, r, L, F, F, L, R, R, R, R  ->  C, r, L, F, F, L, F, F, F, F  at  -0.14035076 		PREFIXED after 9 iterates
-0.14035076 C, r, L, F, F, L, R  ->  C, r, L, F, F, L, F  at  -0.14035076 		PREFIXED after 6 iterates
-0.14035076 C, r, L, F, F, L, R, R  ->  C, r, L, F, F, L, F, F  at  -0.14035076 		PREFIXED after 7 iterates
-0.14035076 C, r, L, F, F, L, R, R, R  ->  C, r, L, F, F, L, F, F, F  at  -0.14035076 		PREFIXED after 8 iterates
-0.14035704  C, r, L, F, F, L, F, F, F, F  ->  C, r, L, F, F, L, F, F, F, L  at  -0.14035704 		Period 9 orbit
-0.14036018  C, r, L, F, F, L, F, F, F, L  ->  C, r, L, F, F, L, F, F, F, r  at  -0.14036018 		PREZERO after 9 iterates
-0.14036332 C, r, L, F, F, L, F, F, F  ->  C, r, L, F, F, L, F, F, L  at  -0.14036332 		Period 8 orbit
-0.14036646  C, r, L, F, F, L, F, F, L, r  ->  C, r, L, F, F, L, F, F, L, F  at  -0.14036646 
-0.1403696 	 C, r, L, F, F, L, F, F, L, F  ->  C, r, L, F, F, L, F, F, r, R  at  -0.1403696 		PREFIXED after 9 iterates
-0.1403696  C, r, L, F, F, L, F, F, L  ->  C, r, L, F, F, L, F, F, r  at  -0.1403696 		PREZERO after 8 iterates
-0.14037274  C, r, L, F, F, L, F, F, r, R  ->  C, r, L, F, F, L, F, F, r, F  at  -0.14037274 		PREFIXED after 9 iterates
-0.14037588  C, r, L, F, F, L, F, F, r, F  ->  C, r, L, F, F, L, F, F, r, L  at  -0.14037588 		Period 9 orbit
-0.14038216 C, r, L, F, F, L, F, F  ->  C, r, L, F, F, L, F, L  at  -0.14038216 		Period 7 orbit
-0.1403853 	 C, r, L, F, F, L, F, L, r, L  ->  C, r, L, F, F, L, F, L, r, F  at  -0.1403853 		Period 9 orbit
-0.14038844  C, r, L, F, F, L, F, L, r, F  ->  C, r, L, F, F, L, F, L, L, R  at  -0.14038844 		PREFIXED after 9 iterates
-0.14038844 C, r, L, F, F, L, F, L, r  ->  C, r, L, F, F, L, F, L, L  at  -0.14038844 		PREZERO after 8 iterates
-0.14039158  C, r, L, F, F, L, F, L, L, R  ->  C, r, L, F, F, L, F, L, L, r  at  -0.14039158 
-0.14039472  C, r, L, F, F, L, F, L, L, r  ->  C, r, L, F, F, L, F, L, F, F  at  -0.14039472 
-0.14039472 C, r, L, F, F, L, F, L, L  ->  C, r, L, F, F, L, F, L, F  at  -0.14039472 		Period 8 orbit
-0.14039786  C, r, L, F, F, L, F, L, F, F  ->  C, r, L, F, F, L, F, L, R, R  at  -0.14039786 		PREFIXED after 9 iterates
-0.14039786 C, r, L, F, F, L, F, L, F  ->  C, r, L, F, F, L, F, L, R  at  -0.14039786 		PREFIXED after 8 iterates
-0.140401  C, r, L, F, F, L, F, L  ->  C, r, L, F, F, L, F, r  at  -0.140401 		PREZERO after 7 iterates
-0.14040728  C, r, L, F, F, L, F, r, R, R  ->  C, r, L, F, F, L, F, r, F, F  at  -0.14040728 		PREFIXED after 9 iterates
-0.14040728 C, r, L, F, F, L, F, r, R  ->  C, r, L, F, F, L, F, r, F  at  -0.14040728 		PREFIXED after 8 iterates
-0.14041042  C, r, L, F, F, L, F, r, F, F  ->  C, r, L, F, F, L, F, r, F, L  at  -0.14041042 		Period 9 orbit
-0.14041356  C, r, L, F, F, L, F, r, F, L  ->  C, r, L, F, F, L, F, r, F, r  at  -0.14041356 		PREZERO after 9 iterates
-0.1404167  C, r, L, F, F, L, F, r, F  ->  C, r, L, F, F, L, F, r, L  at  -0.1404167 		Period 8 orbit
-0.14042298  C, r, L, F, F, L, F, r, L, r  ->  C, r, L, F, F, L, F, r, L, L  at  -0.14042298 		PREZERO after 9 iterates
-0.14042612  C, r, L, F, F, L, F, r, L, L  ->  C, r, L, F, F, L, F, r, L, F  at  -0.14042612 		Period 9 orbit
-0.14043554 C, r, L, F, F, L, F  ->  C, r, L, F, F, L, L  at  -0.14043554 		Period 6 orbit
-0.14044496  C, r, L, F, F, L, L, r, L, F  ->  C, r, L, F, F, L, L, r, L, L  at  -0.14044496 		Period 9 orbit
-0.1404481 	 C, r, L, F, F, L, L, r, L, L  ->  C, r, L, F, F, L, L, r, L, r  at  -0.1404481 		PREZERO after 9 iterates
-0.14045438 C, r, L, F, F, L, L, r, L  ->  C, r, L, F, F, L, L, r, F  at  -0.14045438 		Period 8 orbit
-0.14045752  C, r, L, F, F, L, L, r, F, r  ->  C, r, L, F, F, L, L, r, F, F  at  -0.14045752 
-0.14046066  C, r, L, F, F, L, L, r, F, F  ->  C, r, L, F, F, L, L, r, R, R  at  -0.14046066 		PREFIXED after 9 iterates
-0.14046066 C, r, L, F, F, L, L, r, F  ->  C, r, L, F, F, L, L, r, R  at  -0.14046066 		PREFIXED after 8 iterates
-0.1404638  C, r, L, F, F, L, L, r  ->  C, r, L, F, F, L, L, L  at  -0.1404638 		PREZERO after 7 iterates
-0.14047008  C, r, L, F, F, L, L, L, R, R  ->  C, r, L, F, F, L, L, L, L, r  at  -0.14047008 
-0.14047008 C, r, L, F, F, L, L, L, R  ->  C, r, L, F, F, L, L, L, L  at  -0.14047008 
-0.14047322  C, r, L, F, F, L, L, L, L, r  ->  C, r, L, F, F, L, L, L, r, F  at  -0.14047322 
-0.14047322 C, r, L, F, F, L, L, L, L  ->  C, r, L, F, F, L, L, L, r  at  -0.14047322 		PREZERO after 8 iterates
-0.14047636  C, r, L, F, F, L, L, L, r, F  ->  C, r, L, F, F, L, L, L, r, L  at  -0.14047636 		Period 9 orbit
-0.1404795  C, r, L, F, F, L, L, L  ->  C, r, L, F, F, L, L, F  at  -0.1404795 		Period 7 orbit
-0.14048264  C, r, L, F, F, L, L, F, r, L  ->  C, r, L, F, F, L, L, F, r, R  at  -0.14048264 
-0.14048578  C, r, L, F, F, L, L, F, r, R  ->  C, r, L, F, F, L, L, F, L, L  at  -0.14048578 
-0.14048578 C, r, L, F, F, L, L, F, r  ->  C, r, L, F, F, L, L, F, L  at  -0.14048578 		PREZERO after 8 iterates
-0.14048892  C, r, L, F, F, L, L, F, L, L  ->  C, r, L, F, F, L, L, F, F, r  at  -0.14048892 		PREZERO after 9 iterates
-0.14048892 C, r, L, F, F, L, L, F, L  ->  C, r, L, F, F, L, L, F, F  at  -0.14048892 		Period 8 orbit
-0.14049206  C, r, L, F, F, L, L, F, F, r  ->  C, r, L, F, F, L, L, F, F, F  at  -0.14049206 
-0.1404952 	 C, r, L, F, F, L, L, F, F, F  ->  C, r, L, F, F, L, L, R, R, R  at  -0.1404952 		PREFIXED after 9 iterates
-0.1404952  C, r, L, F, F, L, L, F  ->  C, r, L, F, F, L, L, R  at  -0.1404952 		PREFIXED after 7 iterates
-0.1404952  C, r, L, F, F, L, L, F, F  ->  C, r, L, F, F, L, L, R, R  at  -0.1404952 		PREFIXED after 8 iterates
-0.14051404 C, r, L, F, F, L, L  ->  C, r, L, F, F, L, r  at  -0.14051404 		PREZERO after 6 iterates
-0.1405423 	 C, r, L, F, F, L, r, R, R, R  ->  C, r, L, F, F, L, r, F, F, F  at  -0.1405423 		PREFIXED after 9 iterates
-0.1405423  C, r, L, F, F, L, r, R  ->  C, r, L, F, F, L, r, F  at  -0.1405423 		PREFIXED after 7 iterates
-0.1405423  C, r, L, F, F, L, r, R, R  ->  C, r, L, F, F, L, r, F, F  at  -0.1405423 		PREFIXED after 8 iterates
-0.14054858  C, r, L, F, F, L, r, F, F, F  ->  C, r, L, F, F, L, r, F, F, L  at  -0.14054858 		Period 9 orbit
-0.14055172  C, r, L, F, F, L, r, F, F, L  ->  C, r, L, F, F, L, r, F, F, r  at  -0.14055172 		PREZERO after 9 iterates
-0.14055486 C, r, L, F, F, L, r, F, F  ->  C, r, L, F, F, L, r, F, L  at  -0.14055486 		Period 8 orbit
-0.14056114  C, r, L, F, F, L, r, F, L, r  ->  C, r, L, F, F, L, r, F, L, F  at  -0.14056114 
-0.14056428  C, r, L, F, F, L, r, F, L, F  ->  C, r, L, F, F, L, r, F, L, R  at  -0.14056428 		PREFIXED after 9 iterates
-0.14056742 C, r, L, F, F, L, r, F, L  ->  C, r, L, F, F, L, r, F, r  at  -0.14056742 		PREZERO after 8 iterates
-0.14057056  C, r, L, F, F, L, r, F, r, R  ->  C, r, L, F, F, L, r, F, r, F  at  -0.14057056 		PREFIXED after 9 iterates
-0.14057684  C, r, L, F, F, L, r, F, r, F  ->  C, r, L, F, F, L, r, F, r, L  at  -0.14057684 		Period 9 orbit
-0.1405894  C, r, L, F, F, L, r, F  ->  C, r, L, F, F, L, r, L  at  -0.1405894 		Period 7 orbit
-0.1406051 	 C, r, L, F, F, L, r, L, r, L  ->  C, r, L, F, F, L, r, L, r, F  at  -0.1406051 		Period 9 orbit
-0.14061452  C, r, L, F, F, L, r, L, r, F  ->  C, r, L, F, F, L, r, L, r, R  at  -0.14061452 		PREFIXED after 9 iterates
-0.14061766 C, r, L, F, F, L, r, L, r  ->  C, r, L, F, F, L, r, L, L  at  -0.14061766 		PREZERO after 8 iterates
-0.14062394  C, r, L, F, F, L, r, L, L, R  ->  C, r, L, F, F, L, r, L, L, F  at  -0.14062394 		PREFIXED after 9 iterates
-0.14062708  C, r, L, F, F, L, r, L, L, F  ->  C, r, L, F, F, L, r, L, L, L  at  -0.14062708 		Period 9 orbit
-0.14063022  C, r, L, F, F, L, r, L, L, L  ->  C, r, L, F, F, L, r, L, L, r  at  -0.14063022 		PREZERO after 9 iterates
-0.14064278 C, r, L, F, F, L, r, L, L  ->  C, r, L, F, F, L, r, L, F  at  -0.14064278 		Period 8 orbit
-0.14065534  C, r, L, F, F, L, r, L, F, r  ->  C, r, L, F, F, L, r, L, F, L  at  -0.14065534 		PREZERO after 9 iterates
-0.14067104  C, r, L, F, F, L, r, L, F, L  ->  C, r, L, F, F, L, r, L, F, F  at  -0.14067104 		Period 9 orbit
-0.1406993  C, r, L, F, F, L  ->  C, r, L, F, F, F  at  -0.1406993 		Period 5 orbit
-0.14073384  C, r, L, F, F, F, r, L, F, F  ->  C, r, L, F, F, F, r, L, F, L  at  -0.14073384 		Period 9 orbit
-0.14074954  C, r, L, F, F, F, r, L, F, L  ->  C, r, L, F, F, F, r, L, F, r  at  -0.14074954 		PREZERO after 9 iterates
-0.14076524 C, r, L, F, F, F, r, L, F  ->  C, r, L, F, F, F, r, L, L  at  -0.14076524 		Period 8 orbit
-0.1407778 	 C, r, L, F, F, F, r, L, L, r  ->  C, r, L, F, F, F, r, L, L, L  at  -0.1407778 		PREZERO after 9 iterates
-0.14078094  C, r, L, F, F, F, r, L, L, L  ->  C, r, L, F, F, F, r, L, L, F  at  -0.14078094 		Period 9 orbit
-0.14078722  C, r, L, F, F, F, r, L, L, F  ->  C, r, L, F, F, F, r, L, L, R  at  -0.14078722 		PREFIXED after 9 iterates
-0.1407935  C, r, L, F, F, F, r, L, L  ->  C, r, L, F, F, F, r, L, r  at  -0.1407935 		PREZERO after 8 iterates
-0.14079978  C, r, L, F, F, F, r, L, r, R  ->  C, r, L, F, F, F, r, L, r, F  at  -0.14079978 		PREFIXED after 9 iterates
-0.14081234  C, r, L, F, F, F, r, L, r, F  ->  C, r, L, F, F, F, r, L, r, L  at  -0.14081234 		Period 9 orbit
-0.14083432 C, r, L, F, F, F, r, L  ->  C, r, L, F, F, F, r, F  at  -0.14083432 		Period 7 orbit
-0.14085316  C, r, L, F, F, F, r, F, r, L  ->  C, r, L, F, F, F, r, F, r, F  at  -0.14085316 		Period 9 orbit
-0.14086258  C, r, L, F, F, F, r, F, r, F  ->  C, r, L, F, F, F, r, F, r, R  at  -0.14086258 		PREFIXED after 9 iterates
-0.14086572 C, r, L, F, F, F, r, F, r  ->  C, r, L, F, F, F, r, F, L  at  -0.14086572 		PREZERO after 8 iterates
-0.140872 	 C, r, L, F, F, F, r, F, L, R  ->  C, r, L, F, F, F, r, F, L, F  at  -0.140872 		PREFIXED after 9 iterates
-0.14087514  C, r, L, F, F, F, r, F, L, F  ->  C, r, L, F, F, F, r, F, L, L  at  -0.14087514 		Period 9 orbit
-0.14087828  C, r, L, F, F, F, r, F, L, L  ->  C, r, L, F, F, F, r, F, L, r  at  -0.14087828 		PREZERO after 9 iterates
-0.14088456 C, r, L, F, F, F, r, F, L  ->  C, r, L, F, F, F, r, F, F  at  -0.14088456 		Period 8 orbit
-0.14089084  C, r, L, F, F, F, r, F, F, r  ->  C, r, L, F, F, F, r, F, F, L  at  -0.14089084 		PREZERO after 9 iterates
-0.14089712  C, r, L, F, F, F, r, F, F, L  ->  C, r, L, F, F, F, r, F, F, F  at  -0.14089712 		Period 9 orbit
-0.1409034 	 C, r, L, F, F, F, r, F, F, F  ->  C, r, L, F, F, F, r, R, R, R  at  -0.1409034 		PREFIXED after 9 iterates
-0.1409034  C, r, L, F, F, F, r, F  ->  C, r, L, F, F, F, r, R  at  -0.1409034 		PREFIXED after 7 iterates
-0.1409034  C, r, L, F, F, F, r, F, F  ->  C, r, L, F, F, F, r, R, R  at  -0.1409034 		PREFIXED after 8 iterates
-0.14095678 C, r, L, F, F, F, r  ->  C, r, L, F, F, F, L  at  -0.14095678 		PREZERO after 6 iterates
-0.14099446  C, r, L, F, F, F, L, R, R, R  ->  C, r, L, F, F, F, L, F, F, F  at  -0.14099446 		PREFIXED after 9 iterates
-0.14099446 C, r, L, F, F, F, L, R  ->  C, r, L, F, F, F, L, F  at  -0.14099446 		PREFIXED after 7 iterates
-0.14099446 C, r, L, F, F, F, L, R, R  ->  C, r, L, F, F, F, L, F, F  at  -0.14099446 		PREFIXED after 8 iterates
-0.14100074  C, r, L, F, F, F, L, F, F, F  ->  C, r, L, F, F, F, L, F, F, L  at  -0.14100074 		Period 9 orbit
-0.14100388  C, r, L, F, F, F, L, F, F, L  ->  C, r, L, F, F, F, L, F, F, r  at  -0.14100388 		PREZERO after 9 iterates
-0.14100702 C, r, L, F, F, F, L, F, F  ->  C, r, L, F, F, F, L, F, L  at  -0.14100702 		Period 8 orbit
-0.14101016  C, r, L, F, F, F, L, F, L, r  ->  C, r, L, F, F, F, L, F, L, L  at  -0.14101016 		PREZERO after 9 iterates
-0.1410133  C, r, L, F, F, F, L, F, L, L  ->  C, r, L, F, F, F, L, F, L, R  at  -0.1410133 
-0.14101644 C, r, L, F, F, F, L, F, L  ->  C, r, L, F, F, F, L, F, r  at  -0.14101644 		PREZERO after 8 iterates
-0.14101958  C, r, L, F, F, F, L, F, r, R  ->  C, r, L, F, F, F, L, F, r, F  at  -0.14101958 		PREFIXED after 9 iterates
-0.14102272  C, r, L, F, F, F, L, F, r, F  ->  C, r, L, F, F, F, L, F, r, L  at  -0.14102272 		Period 9 orbit
-0.141029  C, r, L, F, F, F, L, F  ->  C, r, L, F, F, F, L, L  at  -0.141029 		Period 7 orbit
-0.14103528  C, r, L, F, F, F, L, L, r, L  ->  C, r, L, F, F, F, L, L, r, F  at  -0.14103528 		Period 9 orbit
-0.14103842  C, r, L, F, F, F, L, L, r, F  ->  C, r, L, F, F, F, L, L, r, R  at  -0.14103842 		PREFIXED after 9 iterates
-0.14104156  C, r, L, F, F, F, L, L, r, R  ->  C, r, L, F, F, F, L, L, L, F  at  -0.14104156 		PREFIXED after 9 iterates
-0.14104156 C, r, L, F, F, F, L, L, r  ->  C, r, L, F, F, F, L, L, L  at  -0.14104156 		PREZERO after 8 iterates
-0.1410447  C, r, L, F, F, F, L, L, L, F  ->  C, r, L, F, F, F, L, L, L, r  at  -0.1410447 
-0.14104784 C, r, L, F, F, F, L, L, L  ->  C, r, L, F, F, F, L, L, F  at  -0.14104784 		Period 8 orbit
-0.14105098  C, r, L, F, F, F, L, L, F, r  ->  C, r, L, F, F, F, L, L, F, F  at  -0.14105098 
-0.14105412  C, r, L, F, F, F, L, L, F, F  ->  C, r, L, F, F, F, L, L, R, R  at  -0.14105412 		PREFIXED after 9 iterates
-0.14105412 C, r, L, F, F, F, L, L, F  ->  C, r, L, F, F, F, L, L, R  at  -0.14105412 		PREFIXED after 8 iterates
-0.1410604  C, r, L, F, F, F, L, L  ->  C, r, L, F, F, F, L, r  at  -0.1410604 		PREZERO after 7 iterates
-0.14107296  C, r, L, F, F, F, L, r, R, R  ->  C, r, L, F, F, F, L, r, F, F  at  -0.14107296 		PREFIXED after 9 iterates
-0.14107296 C, r, L, F, F, F, L, r, R  ->  C, r, L, F, F, F, L, r, F  at  -0.14107296 		PREFIXED after 8 iterates
-0.14107924  C, r, L, F, F, F, L, r, F, F  ->  C, r, L, F, F, F, L, r, F, L  at  -0.14107924 		Period 9 orbit
-0.14108238  C, r, L, F, F, F, L, r, F, L  ->  C, r, L, F, F, F, L, r, F, r  at  -0.14108238 		PREZERO after 9 iterates
-0.1410918  C, r, L, F, F, F, L, r, F  ->  C, r, L, F, F, F, L, r, L  at  -0.1410918 		Period 8 orbit
-0.14110436  C, r, L, F, F, F, L, r, L, r  ->  C, r, L, F, F, F, L, r, L, L  at  -0.14110436 		PREZERO after 9 iterates
-0.14111064  C, r, L, F, F, F, L, r, L, L  ->  C, r, L, F, F, F, L, r, L, F  at  -0.14111064 		Period 9 orbit
-0.14113576 C, r, L, F, F, F, L  ->  C, r, L, F, F, F, F  at  -0.14113576 		Period 6 orbit
-0.14116402  C, r, L, F, F, F, F, r, L, F  ->  C, r, L, F, F, F, F, r, L, L  at  -0.14116402 		Period 9 orbit
-0.14117658  C, r, L, F, F, F, F, r, L, L  ->  C, r, L, F, F, F, F, r, L, r  at  -0.14117658 		PREZERO after 9 iterates
-0.14119228 C, r, L, F, F, F, F, r, L  ->  C, r, L, F, F, F, F, r, F  at  -0.14119228 		Period 8 orbit
-0.14120798  C, r, L, F, F, F, F, r, F, r  ->  C, r, L, F, F, F, F, r, F, L  at  -0.14120798 		PREZERO after 9 iterates
-0.14121426  C, r, L, F, F, F, F, r, F, L  ->  C, r, L, F, F, F, F, r, F, F  at  -0.14121426 		Period 9 orbit
-0.14122368  C, r, L, F, F, F, F, r, F, F  ->  C, r, L, F, F, F, F, r, R, R  at  -0.14122368 		PREFIXED after 9 iterates
-0.14122368 C, r, L, F, F, F, F, r, F  ->  C, r, L, F, F, F, F, r, R  at  -0.14122368 		PREFIXED after 8 iterates
-0.14124252 C, r, L, F, F, F, F, r  ->  C, r, L, F, F, F, F, L  at  -0.14124252 		PREZERO after 7 iterates
-0.14126136  C, r, L, F, F, F, F, L, R, R  ->  C, r, L, F, F, F, F, L, F, F  at  -0.14126136 		PREFIXED after 9 iterates
-0.14126136 C, r, L, F, F, F, F, L, R  ->  C, r, L, F, F, F, F, L, F  at  -0.14126136 		PREFIXED after 8 iterates
-0.14126764  C, r, L, F, F, F, F, L, F, F  ->  C, r, L, F, F, F, F, L, F, L  at  -0.14126764 		Period 9 orbit
-0.14127078  C, r, L, F, F, F, F, L, F, L  ->  C, r, L, F, F, F, F, L, F, r  at  -0.14127078 		PREZERO after 9 iterates
-0.14127706 C, r, L, F, F, F, F, L, F  ->  C, r, L, F, F, F, F, L, L  at  -0.14127706 		Period 8 orbit
-0.1412802 	 C, r, L, F, F, F, F, L, L, r  ->  C, r, L, F, F, F, F, L, L, L  at  -0.1412802 		PREZERO after 9 iterates
-0.14128334  C, r, L, F, F, F, F, L, L, L  ->  C, r, L, F, F, F, F, L, L, F  at  -0.14128334 		Period 9 orbit
-0.14128648  C, r, L, F, F, F, F, L, L, F  ->  C, r, L, F, F, F, F, L, L, R  at  -0.14128648 		PREFIXED after 9 iterates
-0.14128962 C, r, L, F, F, F, F, L, L  ->  C, r, L, F, F, F, F, L, r  at  -0.14128962 		PREZERO after 8 iterates
-0.14129276  C, r, L, F, F, F, F, L, r, R  ->  C, r, L, F, F, F, F, L, r, F  at  -0.14129276 		PREFIXED after 9 iterates
-0.14130218  C, r, L, F, F, F, F, L, r, F  ->  C, r, L, F, F, F, F, L, r, L  at  -0.14130218 		Period 9 orbit
-0.14132102 C, r, L, F, F, F, F, L  ->  C, r, L, F, F, F, F, F  at  -0.14132102 		Period 7 orbit
-0.14134614  C, r, L, F, F, F, F, F, r, L  ->  C, r, L, F, F, F, F, F, r, F  at  -0.14134614 		Period 9 orbit
-0.1413587 	 C, r, L, F, F, F, F, F, r, F  ->  C, r, L, F, F, F, F, F, r, R  at  -0.1413587 		PREFIXED after 9 iterates
-0.14136812 C, r, L, F, F, F, F, F, r  ->  C, r, L, F, F, F, F, F, L  at  -0.14136812 		PREZERO after 8 iterates
-0.1413744 	 C, r, L, F, F, F, F, F, L, R  ->  C, r, L, F, F, F, F, F, L, F  at  -0.1413744 		PREFIXED after 9 iterates
-0.14138068  C, r, L, F, F, F, F, F, L, F  ->  C, r, L, F, F, F, F, F, L, L  at  -0.14138068 		Period 9 orbit
-0.14138696  C, r, L, F, F, F, F, F, L, L  ->  C, r, L, F, F, F, F, F, L, r  at  -0.14138696 		PREZERO after 9 iterates
-0.14140266 C, r, L, F, F, F, F, F, L  ->  C, r, L, F, F, F, F, F, F  at  -0.14140266 		Period 8 orbit
-0.1414215 	 C, r, L, F, F, F, F, F, F, r  ->  C, r, L, F, F, F, F, F, F, L  at  -0.1414215 		PREZERO after 9 iterates
-0.1414372 	 C, r, L, F, F, F, F, F, F, L  ->  C, r, L, F, F, F, F, F, F, F  at  -0.1414372 		Period 9 orbit
-0.14146546  C, r, L, F, F, F, F, F, F, F  ->  C, r, L, R, R, R, R, R, R, R  at  -0.14146546 		PREFIXED after 9 iterates
-0.14146546 C, r, L, F  ->  C, r, L, R  at  -0.14146546 		PREFIXED after 3 iterates
-0.14146546 C, r, L, F, F  ->  C, r, L, R, R  at  -0.14146546 		PREFIXED after 4 iterates
-0.14146546 C, r, L, F, F, F  ->  C, r, L, R, R, R  at  -0.14146546 		PREFIXED after 5 iterates
-0.14146546 C, r, L, F, F, F, F  ->  C, r, L, R, R, R, R  at  -0.14146546 		PREFIXED after 6 iterates
-0.14146546 C, r, L, F, F, F, F, F  ->  C, r, L, R, R, R, R, R  at  -0.14146546 		PREFIXED after 7 iterates
