C, r, R, R, R, R, R, L, R, r, R, R, R, R, R, R, L		 at 	-0.092979778	
C, r, R, R, R, R, R, L, R, r, R, R, R, R, R, R, L	0	 at 	-0.092979935			PREZERO after 17 iterates
C, r, R, R, R, R, R, L, R, r, R, R, R, R, R, R, L	0	 at 	-0.092980092			PREZERO after 17 iterates
C, r, R, R, R, R, R, L, R, r, R, R, R, R, R, R, R		 at 	-0.092980249	
C, r, R, R, R, R, R, L, R, L, R, R, R, R, R, R, R		 at 	-0.093001601	
C, r, R, R, R, R, R, L, R, L, R, R, R, R, R, R, R		 at 	-0.093001758	
C, r, R, R, R, R, R, L, R, L, R, L, R, L, R, R, R		 at 	-0.093004584	
C, r, R, R, R, R, R, L, R, L, R, L, R, R, L, L, R		 at 	-0.093004741	
C, r, R, R, R, R, R, L, R, L, R, r, R, R, R, R, R		 at 	-0.093006468	
C, r, R, R, R, R, R, L, R, L, L, r, R, R, R, R, R		 at 	-0.093006625	
C, r, R, R, R, R, R, L, R, L, r, R, R, R, R, R, R		 at 	-0.093016673	
C, r, R, R, R, R, R, L, R, L, r, R, R, R, R, R, L	0	 at 	-0.093016987			PREZERO after 17 iterates
C, r, R, R, R, R, R, L, R, L, r, R, R, R, R, R, L		 at 	-0.093017144	
C, r, R, R, R, R, R, L, R, R, r, R, R, R, R, R, L		 at 	-0.093017458	
C, r, R, R, R, R, R, L, R, R, r, R, R, R, R, R, L	0	 at 	-0.093017615			PREZERO after 17 iterates
C, r, R, R, R, R, R, L, R, R, r, R, R, R, R, R, R		 at 	-0.093017929	
C, r, R, R, R, R, R, L, R, R, L, R, R, R, R, R, R		 at 	-0.093025465	
C, r, R, R, R, R, R, L, R, R, L, R, R, R, R, R, R		 at 	-0.093025622	
C, r, R, R, R, R, R, L, R, R, L, L, R, r, R, R, R		 at 	-0.093028448	
C, r, R, R, R, R, R, L, R, R, L, L, R, L, L, R, R		 at 	-0.093028605	
C, r, R, R, R, R, R, L, R, R, L, r, R, R, R, R, R		 at 	-0.093031274	
C, r, R, R, R, R, R, L, R, R, R, r, R, R, R, R, R		 at 	-0.093031745	
C, r, R, R, R, R, R, L, R, R, R, L, R, R, r, R, R		 at 	-0.093035199	
C, r, R, R, R, R, R, L, R, R, R, L, R, L, R, L, L		 at 	-0.093035356	
C, r, R, R, R, R, R, L, R, R, R, R, L, R, R, R, R		 at 	-0.09303881	
C, r, R, R, R, R, R, L, R, R, R, R, L, R, R, L, R		 at 	-0.093038967	
C, r, R, R, R, R, R, L, R, R, R, R, L, L, r, R, R		 at 	-0.093039281	
C, r, R, R, R, R, R, L, R, R, R, R, L, L, R, L, L		 at 	-0.093039438	
C, r, R, R, R, R, R, L, R, R, R, R, R, R, r, R, R		 at 	-0.093041322	
C, r, R, R, R, R, R, L, R, R, R, R, R, R, L, R, R		 at 	-0.093041479	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R, R, R		 at 	-0.093288126	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R, R, R	0	 at 	-0.093288283			PREZERO after 17 iterates
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R, R, L	0	 at 	-0.093288597			PREZERO after 17 iterates
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R, R, L		 at 	-0.093288754	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R, L, L		 at 	-0.093289853	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R, L, L	0	 at 	-0.09329001			PREZERO after 17 iterates
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R, L, R		 at 	-0.093290167	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, L, L, R		 at 	-0.093292679	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, L, L, L		 at 	-0.093292836	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, L, R, r		 at 	-0.093293307	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, L, R, R		 at 	-0.093293621	
C, r, R, R, R, R, R, r, R, R, R, R, R, L, L, R, R		 at 	-0.093299587	
C, r, R, R, R, R, R, r, R, R, R, R, R, L, L, R, R		 at 	-0.093299744	
C, r, R, R, R, R, R, r, R, R, R, R, R, L, L, L, L		 at 	-0.093300215	
C, r, R, R, R, R, R, r, R, R, R, R, R, L, L, L, R		 at 	-0.093300372	
C, r, R, R, R, R, R, r, R, R, R, R, R, L, R, L, R		 at 	-0.093301785	
C, r, R, R, R, R, R, r, R, R, R, R, R, L, R, L, L		 at 	-0.093302099	
C, r, R, R, R, R, R, r, R, R, R, R, R, L, R, R, L		 at 	-0.09330257	
C, r, R, R, R, R, R, r, R, R, R, R, R, L, R, R, L	0	 at 	-0.093302727			PREZERO after 17 iterates
C, r, R, R, R, R, R, r, R, R, R, R, R, L, R, R, R		 at 	-0.093302884	
C, r, R, R, R, R, L, r, R, R, R, R, R, L, R, R, R		 at 	-0.093340721	
C, r, R, R, R, R, L, r, R, R, R, R, R, L, R, R, R	0	 at 	-0.093340878			PREZERO after 17 iterates
