C, r, R, R, R, R, L, L, R, R, R, L, L, R, R, R, R, R, R		 at 	-0.093546234	
C, r, R, R, R, R, L, L, R, R, R, L, L, R, r, R, R, R, R		 at 	-0.093546391	
C, r, R, R, R, R, L, L, R, R, r, R, R, R, R, L, L, R, R		 at 	-0.093557538	
C, r, R, R, R, R, L, L, R, L, r, R, R, R, R, L, L, R, R		 at 	-0.093557695	
C, r, R, R, R, R, L, L, R, L, r, R, R, R, R, R, L, L, L		 at 	-0.093558166	
C, r, R, R, R, R, L, L, R, L, r, R, R, R, R, R, R, R, L		 at 	-0.093558323	
C, r, R, R, R, R, L, L, R, L, L, R, R, L, r, R, R, R, R		 at 	-0.093561934	
C, r, R, R, R, R, L, L, R, L, L, R, L, r, R, R, R, R, L		 at 	-0.093562091	
C, r, R, R, R, R, L, L, L, L, R, R, R, L, L, r, R, R, R		 at 	-0.093592706	
C, r, R, R, R, R, L, L, L, L, R, R, L, r, R, R, R, R, L		 at 	-0.093592863	
C, r, R, R, R, R, L, L, L, L, L, L, R, R, R, R, R, R, R		 at 	-0.093595375	
C, r, R, R, R, R, L, L, L, L, L, L, R, r, R, R, R, R, R		 at 	-0.093595532	
C, r, R, R, R, R, L, L, L, L, r, R, R, R, R, R, R, R, R		 at 	-0.093598672	
C, r, R, R, R, R, L, L, L, L, r, R, R, R, R, R, R, R, R		 at 	-0.093598829	
C, r, R, R, R, R, L, L, L, L, r, R, R, R, R, L, r, R, R		 at 	-0.093599143	
C, r, R, R, R, R, L, L, L, R, r, R, R, R, R, L, L, L, L		 at 	-0.0935993	
C, r, R, R, R, R, L, L, L, R, R, L, R, R, R, R, R, R, R		 at 	-0.093605894	
C, r, R, R, R, R, L, L, L, R, R, L, R, L, R, R, L, R, R		 at 	-0.093606051	
C, r, R, R, R, R, L, L, r, R, R, R, R, R, R, L, L, R, R		 at 	-0.09364954	
C, r, R, R, R, R, L, L, r, R, R, R, R, R, R, L, R, L, L		 at 	-0.093649697	
C, r, R, R, R, R, L, L, r, R, R, R, R, R, L, r, R, R, R		 at 	-0.093650482	
C, r, R, R, R, R, L, L, r, R, R, R, R, R, L, L, R, R, R		 at 	-0.093650639	
C, r, R, R, R, R, L, L, r, R, R, R, R, R, L, L, r, R, R		 at 	-0.093650796	
C, r, R, R, R, R, L, L, r, R, R, R, R, R, L, R, L, R, R	0	 at 	-0.093650953			PREZERO after 19 iterates
C, r, R, R, R, R, L, L, r, R, R, R, R, R, L, R, R, R, R		 at 	-0.09365111	
C, r, R, R, R, R, L, L, r, R, R, R, R, R, r, R, R, R, R		 at 	-0.093652366	
C, r, R, R, R, R, L, L, r, R, R, R, R, L, r, R, R, R, R		 at 	-0.09365268	
C, r, R, R, R, R, L, L, r, R, R, R, R, L, L, R, R, R, R		 at 	-0.09365425	
C, r, R, R, R, R, L, L, r, R, R, R, R, L, L, R, R, L, L	0	 at 	-0.093654407			PREZERO after 19 iterates
C, r, R, R, R, R, L, L, r, R, R, R, R, L, L, R, L, R, L		 at 	-0.093654564	
C, r, R, R, R, R, L, R, r, R, R, R, R, L, r, R, R, R, R		 at 	-0.093660687	
C, r, R, R, R, R, L, R, r, R, R, R, R, R, r, R, R, R, R		 at 	-0.093661001	
C, r, R, R, R, R, L, R, r, R, R, R, R, R, L, R, R, R, R		 at 	-0.093662257	
C, r, R, R, R, R, L, R, r, R, R, R, R, R, L, R, R, R, L		 at 	-0.093662414	
C, r, R, R, R, R, L, R, r, R, R, R, R, R, L, L, r, R, R		 at 	-0.093662728	
C, r, R, R, R, R, L, R, r, R, R, R, R, R, L, L, R, R, L		 at 	-0.093662885	
C, r, R, R, R, R, L, R, r, R, R, R, R, R, R, R, L, r, R		 at 	-0.093664455	
C, r, R, R, R, R, L, R, r, R, R, R, R, R, R, R, R, L, L		 at 	-0.093664612	
C, r, R, R, R, R, L, R, L, R, r, R, R, R, R, R, R, R, R		 at 	-0.093718777	
